mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,spec_centroid_mean,spec_centroid_var,spec_bandwidth_mean,spec_bandwidth_var,rolloff_mean,rolloff_var,flux_mean,flux_var,flatness_mean,flatness_var,zcr_mean,zcr_var,rms_mean,rms_var,is_insecta
-172.799,35.879,-7.232,21.905,2.03,15.201,2.314,11.997,1.149,11.157,1.024,18.092,-6.386,452.285,475.26,56.314,156.763,273.642,160.359,28.12,60.528,65.131,36.773,31.024,34.081,36.182,5970.943,1065950.005,4279.665,349458.09,11193.141,3699349.95,1.124,0.364,0.068,0.001,0.29,0.006,0.036,0.0,False
-197.718,57.892,-7.284,22.4,-6.113,25.489,2.294,7.812,5.531,8.337,3.231,14.237,-1.152,382.577,397.904,61.141,142.641,246.316,136.462,37.837,52.128,51.14,41.999,33.775,26.785,26.496,4685.059,618854.692,3949.5,221188.956,9335.064,1468594.991,1.159,0.427,0.037,0.001,0.177,0.005,0.034,0.0,False
-189.547,54.385,-6.856,20.891,-2.68,21.375,1.25,9.931,4.718,9.339,3.823,15.386,-4.224,444.623,418.086,34.542,123.53,226.69,179.242,26.66,51.059,50.015,42.22,24.516,27.555,26.976,4897.044,624535.433,4071.219,237250.205,9859.625,1993395.661,1.124,0.34,0.04,0.001,0.192,0.005,0.036,0.0,False
-193.11,53.254,-4.709,20.272,-5.245,24.148,3.131,9.244,5.558,8.808,3.62,13.898,-1.345,586.082,476.317,41.944,101.021,291.884,175.482,50.859,54.207,41.481,51.671,47.981,34.103,27.709,4878.628,851310.254,4070.598,299976.879,9741.264,2383981.845,1.157,0.428,0.031,0.0,0.172,0.006,0.041,0.0,False
-189.717,47.123,-4.734,22.018,-6.456,24.244,2.258,10.735,6.245,7.012,5.427,14.869,-3.967,417.367,464.5,40.528,117.734,283.408,170.764,49.318,49.848,43.047,48.608,39.894,29.949,26.724,5227.97,613845.435,4079.696,314579.486,10130.94,2316259.42,1.185,0.482,0.046,0.001,0.215,0.005,0.035,0.0,False
-189.785,50.541,-8.839,22.892,-7.35,22.883,-0.289,10.65,4.61,8.03,3.985,14.996,-4.032,643.195,532.935,25.431,104.974,289.654,211.971,39.138,46.789,46.232,39.445,33.361,21.865,26.173,5120.902,761690.406,4006.285,255441.52,9884.685,2409215.378,1.159,0.353,0.046,0.001,0.227,0.006,0.033,0.0,False
-178.854,51.105,-9.522,20.818,0.643,19.022,2.847,12.43,2.313,9.529,4.185,14.887,-3.856,285.496,366.824,37.748,100.429,204.215,125.285,23.845,51.136,51.916,28.87,22.57,21.784,21.775,4968.776,495575.776,4149.578,205272.137,10007.089,1623456.827,1.091,0.272,0.041,0.001,0.189,0.005,0.04,0.0,False
-193.014,62.713,-12.521,20.586,-9.091,26.955,-0.723,7.439,6.157,6.764,4.097,13.155,-2.323,306.068,333.614,27.069,114.92,220.533,107.109,23.49,44.555,48.733,38.703,38.555,24.714,19.212,4530.372,440165.637,3821.363,179162.535,8839.407,704732.442,1.156,0.449,0.034,0.0,0.179,0.004,0.034,0.0,False
-186.511,56.657,-12.249,20.79,-3.534,22.197,-0.322,8.63,3.212,8.746,2.64,13.851,-3.246,347.785,355.263,38.773,104.276,223.499,132.978,27.26,44.855,58.307,39.071,35.761,26.402,24.916,4805.925,413450.521,3995.501,200939.705,9510.982,1106986.14,1.126,0.314,0.04,0.0,0.2,0.004,0.034,0.0,False
-192.851,60.28,-13.537,22.671,-10.409,26.799,-0.343,6.623,4.062,7.546,2.588,13.512,-1.752,333.703,356.212,34.963,142.937,244.152,140.735,27.059,38.763,50.433,39.138,36.97,23.579,21.05,4641.73,445168.468,3805.789,229598.492,8939.896,914081.718,1.17,0.414,0.035,0.0,0.19,0.004,0.034,0.0,False
-209.593,61.065,-10.495,24.455,-4.837,26.53,1.732,8.915,7.32,7.986,5.186,15.057,-1.4,4481.368,300.596,33.464,119.315,206.712,145.177,31.1,52.905,57.212,31.742,33.483,29.319,25.1,4489.92,368931.564,3903.892,141351.143,8915.485,825527.324,1.238,3.729,0.03,0.0,0.168,0.004,0.032,0.0,False
-211.33,-6.109,-44.35,0.566,-2.37,-18.805,13.434,-23.171,-13.996,6.276,-8.929,-3.992,-15.843,2681.181,621.919,288.923,243.42,431.516,275.77,122.344,132.259,74.953,94.099,87.484,53.981,63.102,6878.243,206531.993,4484.985,167623.245,12813.299,635284.468,1.548,2.897,0.057,0.002,0.35,0.002,0.039,0.0,False
-212.929,-2.526,-39.274,3.782,4.771,-27.095,16.753,-25.692,-17.339,7.314,-11.841,-2.069,-20.335,410.219,460.662,126.357,104.411,246.064,214.058,95.111,87.012,68.082,67.352,73.898,53.464,81.308,7272.207,197968.784,4632.945,59539.733,13214.507,63531.098,1.378,0.404,0.048,0.001,0.382,0.001,0.036,0.0,False
-225.44,-34.175,-40.365,6.767,2.851,-26.306,15.443,-30.752,-19.806,3.539,-6.463,-5.901,-19.842,471.858,625.577,197.579,119.101,235.8,225.043,110.41,132.785,99.919,135.349,84.671,74.706,139.908,7769.055,202468.172,4558.694,83099.352,13407.748,91730.672,1.613,0.638,0.049,0.002,0.381,0.003,0.046,0.0,False
-218.575,-21.871,-36.908,5.56,1.659,-28.904,16.548,-33.342,-18.463,0.896,-8.58,-5.384,-19.967,564.316,725.56,184.496,174.9,294.928,206.003,111.401,124.369,98.674,108.291,78.717,80.05,121.137,7717.002,227389.663,4624.386,84620.671,13432.808,73638.249,1.571,0.549,0.043,0.001,0.373,0.004,0.048,0.0,False
-209.279,-10.315,-42.963,1.364,-4.497,-19.684,13.514,-25.213,-15.965,3.636,-9.039,-5.114,-16.178,1383.677,679.201,310.935,250.623,399.189,294.093,134.211,149.103,97.626,109.516,96.238,58.112,75.892,6987.302,293634.13,4479.756,169208.618,12877.446,660062.126,1.522,1.798,0.053,0.001,0.345,0.003,0.043,0.0,False
-416.368,-37.414,-166.711,-65.638,-96.324,3.851,-15.258,7.364,5.883,17.328,-9.291,15.197,-5.069,3434.33,1566.647,349.466,132.94,163.975,58.906,36.073,110.127,116.827,54.183,41.515,41.948,20.994,4117.067,941572.728,2671.681,48293.952,6591.653,1071523.347,1.67,4.694,0.013,0.001,0.194,0.004,0.01,0.0,False
-416.085,-37.045,-167.143,-67.242,-98.164,4.734,-16.918,8.434,5.658,16.751,-10.114,15.567,-7.796,1595.495,1303.637,185.566,96.689,62.002,53.811,37.407,92.443,120.165,66.829,30.073,29.255,18.078,4101.745,874504.756,2702.851,32301.898,6648.762,756756.467,1.534,2.613,0.01,0.0,0.188,0.003,0.01,0.0,False
-409.48,-44.857,-163.921,-63.924,-98.986,6.701,-17.143,6.993,8.474,14.566,-9.051,14.524,-7.369,1880.099,1389.104,161.107,92.03,54.99,32.303,40.317,103.685,126.329,63.171,26.716,34.478,22.217,4332.54,816069.531,2716.839,31772.462,6932.857,509581.051,1.672,3.253,0.012,0.0,0.206,0.004,0.011,0.0,False
-421.542,-33.837,-166.648,-66.56,-96.051,4.486,-15.808,9.214,6.177,17.621,-10.105,16.91,-7.367,1622.914,1393.91,195.575,80.987,51.413,53.411,33.36,82.166,113.138,69.356,26.319,34.181,24.406,4047.222,855152.363,2707.588,35488.297,6624.651,765957.939,1.447,2.437,0.01,0.0,0.189,0.003,0.009,0.0,False
-404.613,-43.521,-160.629,-61.591,-95.704,8.168,-14.863,10.081,10.988,14.803,-7.337,16.466,-5.345,1660.998,1406.575,131.256,121.911,67.126,38.2,32.919,65.492,93.43,65.938,22.608,24.378,15.346,4347.872,842310.611,2717.758,39320.176,6981.43,579617.829,1.638,3.098,0.012,0.0,0.203,0.004,0.011,0.0,False
-415.637,-38.313,-165.214,-66.821,-96.02,5.8,-16.6,10.954,7.273,16.163,-8.832,15.854,-5.994,1595.615,1390.245,202.146,117.354,82.644,70.06,46.818,70.616,120.73,70.042,34.843,33.794,27.856,4172.722,881998.591,2748.811,48245.72,6828.275,867813.819,1.505,2.408,0.011,0.0,0.196,0.004,0.009,0.0,False
-400.365,-50.966,-160.977,-61.198,-98.895,9.616,-18.084,8.658,10.787,14.005,-7.606,14.865,-7.306,1753.405,1326.264,159.097,115.336,49.172,44.26,32.237,62.707,85.614,67.67,35.267,33.93,19.454,4541.436,832249.395,2723.647,26265.846,7107.578,441800.821,1.72,3.314,0.013,0.0,0.22,0.003,0.011,0.0,False
-405.716,-51.11,-163.968,-62.239,-100.761,8.508,-19.381,8.025,7.492,13.556,-9.978,15.345,-7.716,1844.358,1375.529,160.61,113.391,49.503,34.842,44.788,71.179,101.318,75.643,33.519,39.551,27.813,4488.68,792055.212,2729.138,27186.333,7088.409,452816.448,1.738,3.399,0.013,0.0,0.216,0.003,0.011,0.0,False
-415.968,-44.589,-166.441,-65.108,-100.01,5.142,-19.77,8.669,6.456,15.352,-10.497,15.463,-7.6,2012.669,1462.471,228.8,159.024,76.134,49.649,32.985,72.587,132.316,87.174,45.711,40.353,27.871,4301.707,870282.846,2735.296,37328.125,6902.306,682291.974,1.66,3.379,0.012,0.0,0.204,0.004,0.01,0.0,False
-511.547,-14.061,-154.77,-62.432,-82.553,3.517,-11.452,10.505,4.954,14.988,-9.268,12.503,-5.904,16605.039,1418.542,1707.399,328.394,642.854,91.946,129.285,64.914,130.123,86.621,43.93,59.961,24.974,3897.435,1392339.552,2751.93,232131.348,6584.315,3105041.992,1.45,4.155,0.023,0.004,0.18,0.007,0.005,0.0,False
-215.298,54.479,-0.954,56.826,-7.579,37.013,17.987,14.609,6.36,11.936,-12.696,13.435,-2.476,4811.497,739.921,594.518,140.771,139.563,186.465,106.558,136.542,75.017,92.384,74.932,62.932,39.444,3915.042,851514.082,3484.119,142149.623,7415.585,964961.747,1.756,4.722,0.016,0.0,0.106,0.004,0.064,0.0,False
-218.999,74.614,6.188,45.751,-0.642,34.037,17.678,11.627,7.42,10.299,-13.327,13.963,-3.286,3237.529,665.985,388.131,94.696,139.249,97.946,93.765,103.431,53.508,56.863,68.89,104.898,56.942,3440.113,839725.748,3613.917,55352.754,7037.091,1066220.036,1.518,3.015,0.013,0.0,0.079,0.002,0.059,0.0,False
-180.416,62.08,-1.343,56.586,-9.155,36.661,15.651,14.225,5.158,8.095,-11.969,9.561,-3.112,2956.287,613.755,370.372,134.57,130.584,114.981,87.675,120.182,50.524,64.285,79.673,85.021,47.533,3955.187,697522.166,3462.159,90886.411,7432.907,769070.236,1.745,3.469,0.02,0.0,0.12,0.003,0.066,0.0,False
-188.13,52.035,-6.121,54.729,-9.038,41.059,13.819,15.486,5.198,8.586,-11.077,9.948,-2.073,4743.129,778.785,529.402,79.272,123.209,123.665,62.959,114.42,63.689,64.943,62.364,71.714,35.971,4130.992,896793.023,3449.524,99835.744,7654.453,666666.037,1.941,5.167,0.024,0.001,0.123,0.004,0.065,0.0,False
-418.825,27.583,-45.113,31.696,-9.163,1.447,-1.875,-2.649,-18.12,8.158,-3.738,3.092,-6.775,4496.827,395.14,585.024,198.862,192.886,382.872,93.422,108.34,90.796,67.096,54.209,96.493,80.977,4889.091,339849.352,3302.015,299112.2,8397.165,3138913.81,1.393,2.823,0.047,0.002,0.26,0.001,0.005,0.0,False
-388.591,17.97,-54.087,37.414,-2.059,3.915,-13.298,-1.955,-7.553,6.218,-3.422,9.177,-7.358,1689.507,551.225,804.366,214.115,352.403,588.918,209.679,194.963,148.772,129.63,115.936,165.806,151.772,4645.201,470987.806,3024.823,368869.289,7593.201,3110582.922,1.433,0.961,0.03,0.001,0.24,0.003,0.01,0.0,False
-401.872,23.451,-47.261,32.278,-8.015,8.048,-10.078,-10.425,-12.018,13.829,-1.441,1.212,-7.757,1617.181,610.596,489.189,193.953,193.082,414.667,102.374,122.783,109.265,84.508,95.488,84.916,148.615,4818.329,309080.08,3195.046,216149.528,8110.673,1973894.769,1.406,0.963,0.038,0.001,0.256,0.002,0.006,0.0,False
-397.345,9.513,-58.623,39.467,-1.408,3.983,-15.809,-7.06,-10.086,7.854,-3.382,4.324,-8.526,1581.688,376.177,503.501,161.787,274.056,513.263,224.958,178.502,146.951,154.791,108.801,143.581,137.8,4702.314,311395.176,2939.217,234574.323,7483.926,2359675.099,1.426,0.959,0.028,0.001,0.244,0.002,0.01,0.0,False
-399.856,11.222,-62.806,31.953,-9.683,9.984,-15.51,-10.507,-12.599,11.273,-5.35,4.294,-13.529,1806.209,513.923,407.562,121.22,203.394,420.469,121.323,103.431,75.402,80.072,79.751,63.098,132.046,4864.325,228565.987,3058.977,151059.74,7910.044,1276864.475,1.406,1.069,0.036,0.001,0.26,0.002,0.007,0.0,False
-401.529,9.721,-60.62,34.965,-2.52,5.905,-17.763,-9.063,-8.566,7.158,-7.788,3.427,-9.364,1734.92,524.907,508.88,133.534,281.227,430.592,146.165,180.475,145.785,138.899,102.108,136.503,158.418,4696.159,370170.652,2989.558,243035.157,7608.926,2600168.435,1.432,1.068,0.03,0.001,0.243,0.002,0.01,0.0,False
-418.734,22.207,-48.055,32.716,-8.507,1.91,-4.066,-2.979,-16.844,9.246,-3.229,3.173,-8.413,2880.959,411.459,682.577,220.506,222.105,425.915,140.785,142.482,77.613,81.104,64.883,86.657,100.115,4895.274,247430.922,3263.251,325697.649,8346.745,3060966.905,1.386,2.632,0.046,0.002,0.261,0.002,0.005,0.0,False
-454.947,114.589,-64.232,15.088,-58.322,27.117,-34.796,7.685,-27.86,-8.016,-6.95,-28.356,-1.374,3771.716,353.832,384.205,107.706,155.945,176.067,128.308,79.229,101.917,77.701,44.712,77.909,58.027,3505.377,1093967.753,2956.452,145139.258,7172.324,2265491.418,1.206,1.993,0.009,0.002,0.181,0.009,0.004,0.0,False
-455.041,80.128,-55.444,35.991,-72.451,37.234,-35.819,4.164,-23.509,-10.217,-8.368,-27.708,-3.436,1745.541,420.436,891.205,179.221,319.167,277.985,136.429,162.488,94.508,87.257,83.299,84.905,51.047,4745.505,1336948.742,2865.302,140252.868,7871.056,965924.1,1.068,0.123,0.006,0.0,0.294,0.013,0.005,0.0,False
-492.116,95.977,-46.009,22.651,-64.096,25.948,-40.746,8.987,-26.481,-9.04,-10.23,-31.916,-4.189,347.178,172.903,320.813,61.628,108.808,167.41,150.251,100.097,76.445,44.84,32.588,64.015,48.87,4298.991,1392765.244,3175.095,93879.145,8074.581,942051.229,1.076,0.162,0.008,0.0,0.243,0.012,0.002,0.0,False
-458.673,111.599,-62.412,11.735,-65.193,24.146,-39.093,7.355,-26.718,-10.185,-11.902,-31.43,-5.106,470.826,422.445,207.35,123.506,97.177,129.335,105.371,111.956,82.434,60.975,51.652,73.663,48.732,3557.663,1090756.317,2971.787,115716.77,7202.426,2190157.758,1.064,0.138,0.005,0.0,0.184,0.008,0.003,0.0,False
-416.573,132.867,-68.789,15.853,-64.728,16.118,-39.543,10.907,-28.52,-7.939,-15.626,-27.334,-3.173,343.82,258.055,126.394,110.895,76.182,63.394,90.305,68.378,41.368,30.481,20.825,32.628,34.819,2932.244,619684.983,2786.118,158575.799,6207.218,2771189.938,1.003,0.109,0.003,0.0,0.13,0.004,0.005,0.0,False
-422.082,133.433,-67.254,9.734,-65.275,17.129,-39.392,6.962,-27.842,-11.573,-11.101,-31.451,-5.735,320.632,231.274,169.914,59.671,118.682,152.675,145.864,106.978,69.006,60.291,46.64,45.164,46.207,2952.949,849868.148,2757.3,209371.411,6076.677,3329778.848,1.047,0.151,0.002,0.0,0.141,0.005,0.005,0.0,False
-430.471,127.09,-68.031,12.398,-66.639,21.279,-37.298,7.143,-25.936,-12.34,-11.544,-28.22,-6.701,276.187,144.493,116.066,59.835,157.165,146.792,113.172,134.359,85.458,64.375,48.976,47.88,55.702,3097.808,704284.108,2813.783,131060.744,6423.323,2209586.781,1.046,0.119,0.003,0.0,0.149,0.005,0.004,0.0,False
-423.817,135.293,-70.708,8.864,-62.621,16.824,-39.833,8.97,-27.318,-8.951,-14.749,-29.484,-3.995,204.007,162.25,120.221,42.167,62.137,103.011,84.0,82.339,37.293,27.362,28.871,41.143,26.79,2799.936,575049.885,2729.264,125680.643,5960.064,2530823.551,1.016,0.109,0.003,0.0,0.122,0.003,0.004,0.0,False
-449.234,125.85,-61.647,7.079,-63.592,20.782,-36.894,7.515,-25.413,-12.59,-11.466,-30.116,-5.172,437.574,189.007,275.5,66.948,143.325,127.083,130.458,75.451,63.803,49.552,47.33,43.948,35.555,3063.046,783249.421,2862.302,149697.902,6536.042,2409329.881,1.031,0.125,0.003,0.0,0.14,0.005,0.004,0.0,False
-475.985,107.304,-58.976,11.372,-57.042,23.82,-35.806,9.57,-29.672,-8.682,-12.895,-30.509,-1.574,906.707,176.846,410.924,59.173,95.07,110.875,112.835,110.472,51.255,44.057,44.977,61.624,69.664,3671.172,1120326.855,3075.616,134572.419,7526.108,1885827.29,1.055,0.208,0.006,0.0,0.186,0.008,0.003,0.0,False
-481.977,104.655,-65.395,15.062,-49.946,19.909,-32.211,4.777,-28.868,-8.815,-11.146,-31.028,-3.216,1146.775,161.651,760.197,70.535,63.673,133.043,97.411,89.682,61.37,31.549,39.161,55.028,56.608,3448.418,808293.73,2917.921,175341.475,6985.224,2004900.032,1.032,0.144,0.007,0.0,0.17,0.007,0.003,0.0,False
-473.625,101.833,-62.036,24.877,-51.299,21.748,-37.833,8.544,-29.972,-10.565,-13.185,-28.505,-2.081,475.206,163.346,376.143,151.902,94.835,174.589,118.004,102.921,58.162,35.969,42.732,66.562,51.846,3759.197,901766.302,3024.503,105896.138,7580.022,1242296.222,1.077,0.213,0.007,0.0,0.194,0.006,0.003,0.0,False
-436.035,95.4,-39.947,1.324,-37.691,12.427,-22.427,1.183,-19.962,-10.328,-5.91,-24.55,-3.184,1966.948,386.387,325.268,104.68,230.493,167.285,131.54,74.542,82.433,70.271,39.122,74.465,53.665,3501.107,1090240.85,2952.567,182023.812,7092.302,2682339.751,1.189,2.157,0.008,0.001,0.189,0.009,0.004,0.0,False
-244.323,94.294,20.412,31.437,-22.599,43.405,-41.925,38.505,-3.728,7.14,34.755,-13.951,40.827,1890.228,242.404,610.447,259.239,114.331,182.185,150.937,122.883,145.058,74.695,96.53,97.108,141.075,5182.33,297166.07,3801.745,36544.121,8794.978,100558.939,1.539,3.588,0.005,0.001,0.206,0.003,0.065,0.0,False
-238.875,97.978,4.097,29.41,-21.993,41.193,-30.741,38.974,-2.109,5.866,37.289,-20.898,42.509,2113.777,315.59,1156.748,352.449,104.762,108.252,156.496,135.37,173.985,75.293,98.796,79.49,132.028,4765.654,431251.228,3630.325,63952.048,8333.666,32683.36,1.525,1.774,0.003,0.0,0.202,0.003,0.069,0.001,False
-216.768,96.783,-17.276,40.288,-23.16,40.364,-20.059,26.703,10.101,-4.696,45.318,-20.299,35.72,2817.309,528.83,1972.925,812.52,123.151,141.619,296.207,215.329,110.328,127.657,109.648,138.9,138.908,4422.606,459595.966,3395.675,155055.225,8136.282,57886.146,1.608,1.733,0.003,0.0,0.191,0.002,0.084,0.001,False
-228.906,97.174,-10.988,53.232,-22.677,30.342,-26.792,34.599,7.694,-4.164,48.456,-19.434,34.791,2215.742,556.457,1552.89,687.594,145.844,211.776,306.088,370.358,150.378,149.872,148.918,147.796,152.047,4500.206,258328.295,3489.012,114443.388,8214.856,36964.733,1.582,1.401,0.003,0.0,0.186,0.001,0.071,0.0,False
-246.577,96.898,18.046,39.861,-14.795,25.913,-25.191,35.096,7.436,8.354,34.282,-15.755,29.352,2034.509,514.708,758.373,299.121,150.941,169.784,162.179,217.099,152.313,124.246,226.376,206.258,155.244,4100.229,311268.397,3749.631,92938.013,8263.079,69467.516,1.478,1.609,0.002,0.0,0.12,0.003,0.07,0.0,False
-233.661,100.492,14.231,23.86,-1.336,20.007,-24.122,34.473,8.403,5.38,25.636,-7.348,19.651,2379.734,171.655,521.725,88.974,121.13,50.177,75.556,77.047,50.928,77.245,128.198,51.238,98.635,3451.086,172296.925,3716.98,47481.25,8085.214,395872.524,1.373,2.672,0.003,0.0,0.086,0.002,0.069,0.003,False
-226.997,98.17,-0.312,28.832,-16.36,32.444,-35.374,35.98,-3.599,4.784,28.842,-12.608,30.098,1881.085,240.213,895.563,201.61,203.029,379.167,156.716,129.734,130.619,91.235,179.705,88.072,154.334,4567.887,521466.822,3697.018,78753.657,8532.748,257721.337,1.573,1.956,0.005,0.0,0.201,0.002,0.055,0.001,False
-205.961,94.4,-51.028,25.946,-3.939,26.68,5.064,18.543,-2.918,10.847,-0.01,9.006,1.292,5439.509,395.732,988.795,580.606,158.753,126.353,131.421,78.704,83.973,61.458,81.289,86.679,80.442,2944.371,330832.48,2782.321,347012.636,5618.96,2429077.713,1.569,1.353,0.009,0.001,0.11,0.002,0.061,0.002,False
-212.43,89.703,-47.552,30.49,-2.493,27.102,2.712,19.161,-0.365,12.475,-1.507,9.692,1.339,1804.698,290.008,913.533,390.171,114.622,89.258,102.01,82.208,53.141,58.255,61.145,91.612,88.744,3111.667,315350.787,2881.566,326867.986,5969.449,2489327.524,1.423,1.061,0.01,0.0,0.119,0.001,0.051,0.002,False
-208.823,82.138,-49.322,36.146,-2.18,21.653,1.42,21.601,-5.943,10.762,0.019,8.797,-1.111,1191.378,398.822,663.225,544.913,165.62,209.052,114.556,105.826,126.136,114.321,140.278,125.19,130.688,3303.008,312773.415,2740.065,329617.26,5810.653,2298820.813,1.335,0.568,0.008,0.0,0.148,0.003,0.066,0.002,False
-226.495,102.093,-40.496,23.655,1.406,32.003,7.389,19.025,-0.647,9.074,-1.505,10.24,3.556,5575.086,648.827,1204.13,591.572,228.384,122.186,110.491,86.409,88.984,71.587,84.5,91.305,107.241,2653.041,438684.193,2800.302,371820.885,5301.667,3124543.352,1.64,2.054,0.006,0.0,0.087,0.003,0.06,0.002,False
-315.051,56.902,-34.408,26.84,-11.824,19.124,11.736,9.777,5.065,9.807,1.501,-0.231,8.93,3115.598,286.088,872.451,220.805,36.057,47.673,44.826,28.259,41.154,32.669,51.346,66.89,39.682,3946.009,438670.799,3409.557,211358.006,7091.354,1359002.657,1.181,2.113,0.013,0.001,0.122,0.002,0.018,0.0,False
-338.458,48.196,-15.881,37.392,-10.072,19.013,14.783,8.437,-0.605,10.437,5.419,2.745,10.641,627.414,105.571,337.562,123.832,19.738,23.137,22.035,11.534,27.38,25.691,20.692,37.776,25.323,4260.932,246830.954,3656.605,80748.417,7748.452,650818.011,0.963,0.062,0.013,0.0,0.118,0.002,0.014,0.0,False
-348.13,44.938,-10.084,39.512,-10.221,19.088,14.62,8.553,-0.637,10.183,5.15,4.889,8.581,33.809,21.411,25.336,33.66,17.429,19.567,24.671,12.944,22.387,25.688,12.222,16.426,20.15,4503.985,82611.173,3784.618,22358.34,8229.433,291952.943,0.963,0.055,0.015,0.0,0.12,0.002,0.012,0.0,False
-347.091,43.695,-7.312,43.38,-10.675,15.72,14.153,7.498,-0.605,10.548,7.154,2.262,6.703,23.912,34.968,27.496,22.292,23.919,24.829,27.904,18.913,21.493,23.577,18.397,20.579,22.141,4584.276,189716.267,3826.881,103178.296,8449.231,1932386.746,0.98,0.051,0.015,0.0,0.133,0.003,0.012,0.0,False
